mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_52218,N=COCC1NC1C=O,4.69243,0.70917,0.68083,1.6417,73.22,-0.2631,-0.0413,0.2218,1617.3513,0.134552,-455.113026,-455.103735,-455.10279,-455.148825,31.975
gdb_60320,CC(O)CNC(=O)C#C,3.65209,0.76223,0.65081,3.5046,78.02,-0.2537,-0.0212,0.2325,1686.0122,0.144804,-439.079709,-439.069403,-439.068459,-439.116073,36.636
gdb_90052,CC1CC23NC(C12)C3=O,4.00234,1.28877,1.19106,2.0115,78.61,-0.2477,0.0013,0.2489,1080.1473,0.147892,-401.838109,-401.83042,-401.829476,-401.870088,30.221
gdb_114656,CC1C2CC1C(CO)C2,3.19737,1.09046,0.99928,1.3571,85.4,-0.2604,0.0795,0.34,1317.3559,0.207498,-388.277391,-388.268587,-388.267643,-388.310609,34.768
gdb_7909,CC1OC(=O)C(C)=C1,3.48974,1.81152,1.28955,4.4663,67.99,-0.2645,-0.0344,0.2301,955.4472,0.130049,-383.807142,-383.799323,-383.798379,-383.839323,28.426
gdb_12513,CC1=CCCCCC1,3.07544,1.71656,1.22077,0.2781,84.15,-0.2226,0.0299,0.2526,1076.9351,0.202312,-313.096347,-313.088153,-313.087209,-313.128573,32.123
gdb_105483,CCC1(CCC1)C(=O)C,1.87593,1.48331,1.17947,2.6416,85.35,-0.2355,-0.0074,0.2281,1241.5352,0.203842,-388.309782,-388.299463,-388.298519,-388.345312,37.929
gdb_120329,COCC1C2CCOC12,3.3665,0.96777,0.92999,1.9915,79.1,-0.2361,0.0838,0.3199,1391.2986,0.182907,-424.195224,-424.186243,-424.185298,-424.229871,32.806
gdb_52154,O=COCC1C2CN1C2,4.08076,0.93114,0.87557,5.4022,73.78,-0.2461,0.0109,0.2569,1344.5652,0.148237,-439.014024,-439.006,-439.005055,-439.047881,29.455
gdb_99974,CC(C)(CO)C(N)C#N,2.68035,1.10443,0.96054,3.8225,78.65,-0.2647,0.0277,0.2925,1305.5059,0.1806,-420.413479,-420.402507,-420.401563,-420.448962,40.003
gdb_90952,OC1CC2C3OC1OC23,2.95126,1.82296,1.64258,2.255,65.03,-0.2316,0.0787,0.3104,877.2911,0.138835,-458.950157,-458.943633,-458.942689,-458.980961,27.049
gdb_53669,CC#CCOC1CC1C,2.91943,0.8167,0.72519,1.3907,87.29,-0.2402,0.041,0.2812,1678.5969,0.179547,-387.041158,-387.030401,-387.029456,-387.079186,37.388
gdb_4672,c1cn(cc1N)C=O,7.02794,1.29821,1.09723,3.6462,69.43,-0.1992,-0.0278,0.1714,1008.3688,0.108769,-378.771755,-378.764646,-378.763701,-378.802916,26.701
gdb_8612,C#CC(C#C)(C#C)O,2.13821,2.10952,1.48952,1.4363,67.95,-0.2719,-0.0125,0.2593,896.0475,0.078271,-344.068571,-344.059848,-344.058904,-344.101239,31.874
gdb_133279,CN=C1NN=C(F)N=C1,5.08997,1.05048,0.87556,2.2996,70.76,-0.2263,-0.0832,0.143,1223.3058,0.101047,-474.146705,-474.139006,-474.138061,-474.179213,28.137
gdb_118089,CCCC(C)C1(C)CC1,2.67109,0.83078,0.78211,0.099,96.2,-0.261,0.0835,0.3446,1708.8941,0.250363,-353.560529,-353.549197,-353.548253,-353.597092,42.439
gdb_120313,COCC1C2OCC12C,3.26792,0.95037,0.84644,1.9258,80.2,-0.2316,0.0761,0.3078,1468.6061,0.18078,-424.16835,-424.158725,-424.15778,-424.203388,34.84
gdb_89622,C[NH+]1CC2(CC12)C([O-])=O,3.77584,1.1454,0.97852,13.7179,73.41,-0.1761,-0.0066,0.1695,1215.4331,0.147979,-439.018043,-439.009526,-439.008582,-439.051568,31.576
gdb_72946,OC12COC1C1CCC21,2.66802,1.72992,1.44638,2.3647,73.64,-0.2434,0.0555,0.2989,977.7277,0.159946,-422.964556,-422.957032,-422.956088,-422.996457,30.349
gdb_9634,CC1(NC1CO)C#C,4.2663,1.19954,1.07823,1.5899,71.85,-0.2422,0.031,0.2732,1121.4076,0.140294,-363.798941,-363.790019,-363.789075,-363.83243,32.645
gdb_9037,C(C=O)N=C(C=O)N,7.93192,0.82506,0.75101,2.4011,63.91,-0.2546,-0.0732,0.1813,1380.1263,0.10388,-415.877723,-415.868792,-415.867848,-415.913429,29.718
gdb_131728,OCC1=NNC(=N)C=C1,4.78625,1.01929,0.84475,3.3086,78.72,-0.2063,-0.0482,0.1581,1303.1442,0.125617,-434.066044,-434.0578,-434.056856,-434.099475,30.422
gdb_47117,N=C1CC(=CCO1)C#N,3.31735,1.18028,0.89334,4.308,75.94,-0.2725,-0.0581,0.2144,1219.7201,0.113713,-416.839303,-416.831276,-416.830332,-416.873151,28.697
gdb_52491,CC#CC#CCC(=O)C,7.62099,0.48287,0.45795,2.2743,97.93,-0.2284,-0.0163,0.212,2369.2515,0.131389,-384.672428,-384.661428,-384.660484,-384.713983,35.898
gdb_115737,OCC1CCC1C1CO1,2.68504,1.15612,0.92756,2.7024,78.01,-0.2553,0.0708,0.3261,1317.063,0.18234,-424.182752,-424.173548,-424.172604,-424.217122,34.165
gdb_127744,Cn1c(=O)nc(nn1)N,3.39267,1.50331,1.04853,2.9174,69.43,-0.2481,-0.073,0.1751,1064.5148,0.101718,-466.208297,-466.200157,-466.199212,-466.241122,29.257
gdb_51300,[NH2+]=CNC1=CN[CH-]C1=O,3.36919,1.07874,0.82104,3.57,81.09,-0.1789,0.0086,0.1875,1331.997,0.125518,-434.098842,-434.090215,-434.089271,-434.13225,32.552
gdb_63697,CC1(C)CC2(O)COC12,2.49961,1.54614,1.20531,2.3278,77.95,-0.2399,0.0567,0.2966,1122.5467,0.180689,-424.197891,-424.188731,-424.187787,-424.231217,35.729
gdb_29338,Cc1c[nH]c(c1C#C)C,1.9364,1.86676,0.96181,2.6316,89.54,-0.1948,0.02,0.2148,1216.877,0.146421,-364.838656,-364.829092,-364.828148,-364.872919,35.118
gdb_105060,COC1(CC1)C1(C)CN1,2.52225,1.34612,1.15573,2.1369,81.82,-0.233,0.0733,0.3063,1204.7069,0.19216,-404.292136,-404.282245,-404.281301,-404.327183,37.283
gdb_77999,CC1OC2(C#C)C(O)C12,3.07595,1.30509,1.08931,1.694,76.98,-0.2343,0.0104,0.2447,1142.1275,0.133607,-421.745868,-421.737251,-421.736307,-421.778667,33.263
gdb_64687,CC1(CC#N)NC1C#C,4.85633,0.8605,0.81803,3.8123,80.36,-0.2603,0.0076,0.268,1389.0761,0.133822,-380.827592,-380.818166,-380.817222,-380.862046,34.35
gdb_115669,CC(=O)C1CCC1CO,2.23327,1.19446,0.96256,2.5663,78.78,-0.2432,-0.0161,0.2271,1328.4161,0.180758,-424.23126,-424.221167,-424.220223,-424.267121,36.201
gdb_84010,CC1C2COCCC12O,2.07915,1.58558,1.33602,2.3122,77.8,-0.2413,0.0747,0.316,1105.0784,0.183304,-424.211666,-424.202898,-424.201954,-424.24458,34.275
gdb_114668,COC1OC2CC1C2C,3.26281,1.22688,1.10487,0.8254,78.98,-0.2427,0.0985,0.3412,1216.05,0.183071,-424.201878,-424.193346,-424.192402,-424.23488,32.946
gdb_79236,CC12C3OC1(C)C(O)C23,2.04515,1.77043,1.61383,0.9916,74.74,-0.222,0.0672,0.2892,1004.1735,0.157463,-422.965376,-422.956742,-422.955798,-422.997968,33.556
gdb_64717,NC1(CC#N)CC2NC12,3.86453,1.08618,1.02522,5.7908,75.8,-0.2367,0.0345,0.2712,1193.572,0.148589,-398.090442,-398.082025,-398.081081,-398.123503,32.305
gdb_37701,C1C2C3C2C2OC1OC32,2.78824,2.30204,2.08816,1.8544,68.22,-0.2488,0.0825,0.3313,778.2744,0.140673,-421.815954,-421.810538,-421.809594,-421.845376,24.17
gdb_69872,CC12NC1C1OC21C#C,2.76351,1.65393,1.19145,3.4987,76.28,-0.2222,0.0106,0.2327,1033.4272,0.121464,-400.613259,-400.605159,-400.604215,-400.645517,31.642
gdb_63844,CC1(C)CC2CC(C2)C1,2.66671,1.36631,1.36142,0.0497,91.16,-0.2707,0.0762,0.3468,1161.5352,0.23189,-352.363117,-352.3546,-352.353656,-352.396111,35.474
gdb_9824,CCC(=O)C1(CC1)C,3.68464,1.42281,1.13917,2.5862,75.88,-0.2393,-0.0064,0.2329,1120.9038,0.175043,-349.025497,-349.016297,-349.015353,-349.059636,33.743
gdb_47474,O=C1OCCC1CC#C,3.036,1.23744,0.97793,4.3721,73.38,-0.2568,0.0089,0.2656,1202.7293,0.135711,-421.837457,-421.828895,-421.827951,-421.87137,31.236
gdb_80864,CC1CC2CC1(C)C2O,2.09352,1.6503,1.40702,1.4648,84.35,-0.247,0.0678,0.3148,1106.8198,0.206627,-388.293274,-388.284314,-388.28337,-388.325946,36.111
gdb_6057,CC(=O)C#CC(=O)C,5.08644,0.82534,0.80569,3.1424,70.95,-0.2715,-0.0717,0.1998,1427.5988,0.102822,-382.547171,-382.537788,-382.536844,-382.583167,30.368
gdb_62005,NC(=O)OCC(O)C#C,2.74271,1.00843,0.86948,2.0598,66.52,-0.265,0.0257,0.2907,1343.4967,0.121523,-475.02053,-475.010438,-475.009494,-475.056851,35.409
gdb_32048,COc1nccc(=O)o1,3.84173,1.2564,0.95247,4.127,68.65,-0.2499,-0.0542,0.1957,1158.3878,0.101458,-473.888318,-473.880645,-473.879701,-473.920868,27.595
gdb_4442,Cc1c(oc(=O)[nH]1)O,3.57587,1.8841,1.24472,3.7963,56.86,-0.198,0.0458,0.2438,901.4069,0.094678,-435.795216,-435.787395,-435.786451,-435.827306,27.623
gdb_95709,CC1COCC(=N)OC1,3.03846,1.26006,0.96677,3.6706,77.36,-0.2549,0.0213,0.2762,1249.4169,0.172151,-440.28779,-440.279089,-440.278145,-440.321294,32.895
gdb_31980,CNc1ncc(o1)OC,4.89467,0.94345,0.82233,2.3769,73.54,-0.1899,0.0369,0.2268,1401.5914,0.13582,-455.160727,-455.151545,-455.150601,-455.195417,31.962
gdb_53384,CC#CC1CCC1(C)O,2.83878,0.93935,0.84214,1.4523,88.46,-0.2358,0.0555,0.2913,1501.5482,0.179745,-387.065446,-387.054881,-387.053937,-387.103687,38.085
gdb_64299,CC1(C(=CCO1)C#N)C,2.37502,1.51346,1.16359,3.0938,80.39,-0.254,-0.0491,0.2048,1113.5253,0.146219,-401.981547,-401.972464,-401.971519,-402.015562,33.325
gdb_84101,CC1C=C(C)C2(O)CC12,2.5306,1.48782,1.09653,1.2602,84.55,-0.2197,0.0253,0.245,1190.3278,0.181478,-387.095076,-387.085851,-387.084907,-387.128265,35.915
gdb_97710,CCC#CC12CC(C1)C2,4.82768,0.69506,0.679,0.2689,95.72,-0.2389,0.0495,0.2884,1784.1256,0.183075,-349.888513,-349.879542,-349.878598,-349.923647,33.693
gdb_120996,OCCC1NC2COC12,3.78288,0.89046,0.83743,2.8326,74.96,-0.23,0.0689,0.299,1431.6306,0.171535,-440.223818,-440.215085,-440.214141,-440.257919,32.57
gdb_75682,CC1C(=O)C2NC12C=O,2.97551,1.27581,1.07051,1.6055,72.05,-0.2521,-0.0614,0.1907,1131.9627,0.122513,-437.867574,-437.859133,-437.858189,-437.900813,30.704
gdb_85922,CC1(O)CC(O)C(=O)C1,2.76205,1.24813,1.05979,3.4591,71.23,-0.2493,-0.0277,0.2216,1194.1961,0.157188,-460.196312,-460.187136,-460.186192,-460.229972,35.264
gdb_82074,CC1C2CN2C1C(C)=O,2.37358,1.61865,1.14875,1.4976,78.0,-0.2363,-0.0176,0.2187,1128.5688,0.169308,-403.121507,-403.112245,-403.111301,-403.156104,34.104
gdb_8298,CCOC1CC(=O)C1,7.23202,0.92184,0.86948,3.0691,69.89,-0.2411,-0.02,0.2211,1329.8643,0.151249,-384.944034,-384.93541,-384.934466,-384.97798,30.865
gdb_37111,C1C2C1C13OC21CC=C3,3.94703,1.64134,1.51029,2.0693,75.27,-0.2104,-0.0017,0.2087,914.2982,0.13687,-384.602926,-384.596469,-384.595525,-384.633214,27.588
gdb_58405,CC(C)C(CC=O)C=O,2.2606,1.03831,0.757,4.2755,80.4,-0.2517,-0.0318,0.2199,1521.1506,0.177841,-424.24916,-424.2381,-424.237156,-424.28711,37.944
gdb_113435,CCC1CC11CC(C)C1,4.06891,0.79042,0.74256,0.1584,94.74,-0.2504,0.09,0.3404,1700.9275,0.228185,-352.344752,-352.334661,-352.333717,-352.379948,38.477
gdb_17619,CN(C)C(=O)C1CO1,4.10142,1.40273,1.13836,4.576,67.41,-0.2419,0.0101,0.252,1064.1152,0.14052,-400.99275,-400.983673,-400.982729,-401.028077,30.526
gdb_32130,CNc1ncnc(n1)O,4.07088,1.19067,0.92661,1.6344,72.3,-0.24,-0.0212,0.2188,1202.3958,0.115736,-450.208938,-450.200999,-450.200055,-450.242507,28.332
gdb_56906,CC(C#N)C1NC1(C)C,2.37171,1.12496,0.93446,3.5329,83.37,-0.2578,0.0374,0.2951,1372.4988,0.1809,-383.276777,-383.266467,-383.265523,-383.31223,37.663
gdb_25179,c1cc(c(=O)oc1)C#N,3.13558,1.52202,1.02465,6.909,72.47,-0.2613,-0.0984,0.1629,1044.0534,0.078862,-435.555494,-435.548522,-435.547578,-435.587255,25.621
gdb_80487,CN1C2CC(O)C(O)C12,2.1548,1.69061,1.50008,2.6187,74.2,-0.2171,0.0415,0.2586,1019.8116,0.171866,-440.251382,-440.242757,-440.241812,-440.284311,33.536
gdb_58265,CC(O)C(C)C1CCC1,2.71631,1.05763,0.80847,1.3367,89.18,-0.2545,0.072,0.3266,1513.4992,0.227664,-389.486873,-389.476301,-389.475356,-389.52243,39.927
gdb_13148,OCCC1CCC1O,3.58868,1.12001,0.94994,2.2572,70.94,-0.2547,0.0755,0.3302,1256.1616,0.176663,-386.120208,-386.111242,-386.110298,-386.153999,32.957
gdb_53128,CC#CC1C2C3CN2C13,5.90005,0.85718,0.82569,2.0224,86.06,-0.234,0.0485,0.2825,1446.0758,0.147363,-364.685703,-364.677512,-364.676568,-364.720106,30.165
gdb_13186,CN(C=O)C1COC1,3.81478,1.3827,1.20201,3.7115,65.48,-0.2455,0.0177,0.2632,1031.6902,0.1418,-400.989299,-400.980858,-400.979913,-401.023814,28.729
gdb_119956,CCOC1C(O)C1C=O,2.53514,0.99428,0.86318,3.6567,74.57,-0.2403,-0.0178,0.2225,1427.0692,0.156023,-460.138197,-460.128155,-460.12721,-460.174043,35.339
gdb_62330,OC1(C#C)C2C3OC3C12,4.27044,1.31495,1.17115,3.2492,70.66,-0.2396,0.0205,0.2602,1027.9022,0.110209,-420.493594,-420.486181,-420.485237,-420.525056,30.028
gdb_104157,CC1(CO)CC(O)CO1,3.06389,1.16754,1.07662,3.1018,74.17,-0.2455,0.0646,0.31,1215.888,0.181781,-461.367395,-461.357942,-461.356997,-461.401462,36.034
gdb_21700,NC1=NON=NC1=N,3.48734,2.48383,1.45111,3.1986,59.6,-0.2507,-0.0872,0.1636,762.587,0.07177,-426.810511,-426.803774,-426.80283,-426.841482,24.723
gdb_48000,O=CC#CC1OC1C#N,3.21848,0.82363,0.68963,3.3849,72.08,-0.2846,-0.0885,0.1961,1508.0302,0.074927,-435.434407,-435.425741,-435.424796,-435.469669,28.57
gdb_27701,Cc1nc(c(o1)C#N)N,2.91913,1.34266,0.92549,4.2544,75.04,-0.222,-0.0336,0.1885,1189.5107,0.101645,-432.928447,-432.920084,-432.91914,-432.961739,30.005
gdb_3576,CC1C2C3OC3C12,4.67149,3.00623,2.49291,1.7951,59.18,-0.228,0.0573,0.2853,604.7126,0.124609,-308.428791,-308.422555,-308.421611,-308.45927,23.673
gdb_26057,OC(C#N)C1=CN=CN1,3.44326,1.20817,0.93132,4.7793,67.83,-0.2464,-0.0154,0.2309,1166.7454,0.102734,-432.903396,-432.895483,-432.894539,-432.936808,28.418
gdb_1486,CCC(O)CC=O,6.65187,1.18922,1.08467,3.2998,61.58,-0.2432,-0.0202,0.223,1082.4836,0.145479,-346.866543,-346.857832,-346.856888,-346.900174,29.997
gdb_131926,N=C1OC=C(O1)N(=O)=O,4.5688,1.18244,0.93934,4.1048,60.71,-0.2635,-0.1076,0.1559,1107.9739,0.06506,-525.737091,-525.730146,-525.729202,-525.769173,24.873
gdb_5257,CCOc1cc[nH]c1,7.08343,1.12807,0.98513,2.3019,71.38,-0.1876,0.0527,0.2402,1179.0804,0.14294,-363.889603,-363.881674,-363.88073,-363.922139,29.319
gdb_15290,N#CCN1CC1C#N,4.90823,1.20994,1.05185,2.7999,63.84,-0.2855,-0.0186,0.2669,1047.5762,0.095467,-357.627521,-357.619971,-357.619027,-357.660097,26.226
gdb_5189,N=COC1=COC=C1,7.68041,1.19966,1.05669,2.5689,62.66,-0.2304,0.0021,0.2325,1037.8077,0.096196,-398.609762,-398.602988,-398.602044,-398.641435,24.414
gdb_54021,C(=N)N(C(=N)N)C(=O)N,2.17137,1.64339,1.01458,0.8909,70.06,-0.2432,-0.0105,0.2327,1135.1498,0.125758,-467.436301,-467.427276,-467.426332,-467.470221,33.396
gdb_47925,C1CC(=O)OCCOC1,2.18191,1.72015,1.18813,4.8378,72.15,-0.2577,0.0165,0.2742,1087.5107,0.161035,-460.190267,-460.182271,-460.181326,-460.222879,30.786
gdb_56392,NC(=O)C#CC(O)C#C,3.31686,0.71034,0.63839,3.7183,74.59,-0.2616,-0.0305,0.2311,1693.7268,0.097413,-436.634671,-436.624387,-436.623443,-436.67215,34.752
gdb_55600,C(C=O)C(=O)CC(=O)N,3.51449,0.8331,0.73227,5.3788,67.39,-0.2469,-0.0376,0.2094,1496.1184,0.120841,-475.081118,-475.071136,-475.070192,-475.118244,33.679
